feature,p_val,pct_valid,pct_ctrl,avg_valid,avg_ctrl,sd_valid,sd_ctrl,esm,valid_group,adj_pval,FC,log(FC),norm_diff
TRAF2,0.40230468775283,0.05454545454545454,0.021739130434782608,0.4036661688060105,0.13600672008163708,1.7166570815328912,0.9224424555162131,0.19423651062010322,healthy,0.6244729481536466,2.967986938907965,1.5694847431668804,0.2676594487243734
WNT3,0.40230468775283,0.05454545454545454,0.021739130434782608,0.3742757435449301,0.14059112269374427,1.5761095451239333,0.9535353868070248,0.17940342723851319,healthy,0.6213814979152622,2.662157726417984,1.412596049980076,0.23368462085118583
EPHA7,0.40230468775283,0.05454545454545454,0.021739130434782608,0.372457874552295,0.14376253650488166,1.5662567726804564,0.9750449617871999,0.17530150244217663,healthy,0.6183205053146944,2.590785357627908,1.3733894955207142,0.22869533804741335
SLITRK5,0.40230468775283,0.05454545454545454,0.021739130434782608,0.3743821588860434,0.1369645792276025,1.607287345605755,0.9289389723215046,0.18086366074677224,healthy,0.6152895224455047,2.733423203264177,1.4507088429505857,0.23741757965844093
DRD3,0.40230468775283,0.05454545454545454,0.021739130434782608,0.41078289495149745,0.1490687933003192,1.7312300386136192,1.0110337463490582,0.1846138962384293,healthy,0.6122881101408926,2.7556598927041684,1.4623978396432677,0.26171410165117825
PDGFD,0.41088408887138983,0.07272727272727272,0.13043478260869565,0.5767248424700391,0.8123571002102151,2.0914429254067066,2.129042548402065,-0.11165677929658713,healthy,0.6223098821741438,0.7099400526206996,-0.4942308863801281,-0.23563225774017604
EPHA5,0.41088408887138983,0.07272727272727272,0.13043478260869565,0.5675867321307768,0.834099357228682,2.061299953718162,2.1839525468326615,-0.12550559077915596,healthy,0.6193035542409354,0.6804785631493583,-0.5553783811011431,-0.2665126250979052
ZP3,0.418512167112554,0.6181818181818182,0.8695652173913043,5.158260064170654,6.203306187898657,4.176416471235974,2.4900325389776574,-0.3039497345515582,healthy,0.627768250668831,0.8315340091116785,-0.2661528250327929,-1.045046123728003
RYR2,0.4501865677094111,0.16363636363636364,0.13043478260869565,1.2711813701104766,0.7844919575484114,2.92046533259734,2.049181033090795,0.19292227124373848,healthy,0.6720488474896473,1.6203880203985792,0.6963393242671724,0.4866894125620652
NRXN2,0.4511102410836909,0.01818181818181818,0.043478260869565216,0.11098113524618558,0.2860606450868743,0.8230581273089208,1.3583671554763346,-0.15589325622493772,healthy,0.6702209296100551,0.38796366138544336,-1.3660065661712375,-0.1750795098406887
ITGB1BP1,0.4511102410836909,0.01818181818181818,0.043478260869565216,0.10954852557120731,0.2695464156892697,0.8124336096047481,1.2787813322335855,-0.14935049997709854,healthy,0.6670445271000548,0.4064180385818735,-1.2989636583405892,-0.15999789011806237
CALM3,0.4511102410836909,0.01818181818181818,0.043478260869565216,0.0947327637880176,0.2512444509724931,0.7025569794830868,1.1931625985520924,-0.15985470458556286,healthy,0.6638980906514697,0.37705415351994853,-1.4071563528151654,-0.1565116871844755
SLC17A8,0.46515870410449245,0.01818181818181818,0.043478260869565216,0.10954852557120731,0.26966626600522625,0.8124336096047481,1.2806851667019479,-0.1493039784769597,healthy,0.6813592285474256,0.40623741038889977,-1.299604991399684,-0.16011774043401894
COL4A2,0.46515870410449245,0.01818181818181818,0.043478260869565216,0.10954852557120731,0.28955050684482525,0.8124336096047481,1.3874586415026806,-0.1583268100811202,healthy,0.6781753069186993,0.37833995445193996,-1.4022449551748495,-0.18000198127361794
BMPR1A,0.4746938379342981,0.14545454545454545,0.10869565217391304,1.0971893346779458,0.7071956464887236,2.706100133507649,2.052461379087808,0.16238762885756391,healthy,0.6888580345837255,1.551465057973092,0.6336312049190921,0.3899936881892222
TCTN1,0.47944709321544965,0.01818181818181818,0.043478260869565216,0.12365293668071788,0.27588901740689975,0.9170347219364762,1.3083467679440104,-0.13475058716625224,healthy,0.692534690200094,0.4481981118456273,-1.1577915237648209,-0.1522360807261819
TIMP1,0.47944709321544965,0.01818181818181818,0.043478260869565216,0.1251298149278547,0.26008597537223094,0.9279875441585166,1.234666165412219,-0.12356981891275937,healthy,0.6893432860977894,0.48110942832950093,-1.055563022611413,-0.13495616044437625
SHANK1,0.47944709321544965,0.01818181818181818,0.043478260869565216,0.12356349083186599,0.2654531551574749,0.9163713737675431,1.2594424295327113,-0.12883280776430242,healthy,0.6861811609322032,0.46548134174018146,-1.103204754640127,-0.14188966432560893
CLSTN2,0.47944709321544965,0.01818181818181818,0.043478260869565216,0.1284168958609394,0.2542415198327595,0.9523651888014202,1.2066763711233817,-0.1157557550596891,healthy,0.6830479136220104,0.5050980498598823,-0.985364623228934,-0.1258246239718201
VCAN,0.47944709321544965,0.01818181818181818,0.043478260869565216,0.1309288051817952,0.27228793127792583,0.9709940069064724,1.298465395542025,-0.12329816925388662,healthy,0.679943150378274,0.48084689088975974,-1.0563505042552237,-0.14135912609613063
